State,Year,Deaths,Population,Crude Rate
Texas,1999,2084,20558220,10.1
Texas,2000,2133,20851820,10.2
Texas,2001,2308,21319622,10.8
Texas,2002,2257,21690325,10.4
Texas,2003,2381,22030931,10.8
Texas,2004,2304,22394023,10.3
Texas,2005,2452,22778123,10.8
Texas,2006,2389,23359580,10.2
Texas,2007,2518,23831983,10.6
Texas,2008,2558,24309039,10.5
Texas,2009,2641,24801761,10.6
Texas,2010,2669,25145561,10.6
Texas,2011,2553,25674681,9.9
Texas,2012,2683,26059203,10.3
Texas,2013,2730,26448193,10.3
Texas,2014,2794,26956958,10.4
Texas,2015,3147,27469114,11.5
Texas,2016,3285,27862596,11.8
Texas,2017,3444,28304596,12.2
Texas,2018,3445,28701845,12.0
